Full Name,First Name,Last Name,2K00,2K01,2K02,2K03,2K04,2K05,2K06,2K07,2K08,2K09,2K10,2K11,2K12,2K13,2K14,2K15,2K16,2K17,2K18,2K19,2K20,2K21,2K22,2K23,2k24,2k25,2k26
Andrew Gaze,Andrew,Gaze,69.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Goudelock,Andrew,Goudelock,,,,,,,,,,,,,,62,,,,,,,,,,,,,
Andrew Harrison,Andrew,Harrison,,,,,,,,,,,,,,,,,,68,72,74,,,,,,,
Andrew Lang,Andrew,Lang,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Nicholson,Andrew,Nicholson,,,,,,,,,,,,,,69,69,71,68,73,68,,,,,,,,
Andrew Smith,Andrew,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Toney,Andrew,Toney,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew White,Andrew,White,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andris Biedrins,Andris,Biedrins,,,,,,67,,73,81,81,74,69,61,61,63,,,,,,,,,,,,
Andy Panko,Andy,Panko,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Rautins,Andy,Rautins,,,,,,,,,,,,60,56,,,,,,,,,,,,,,
Andy Toolson,Andy,Toolson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anfernee Hardaway,Anfernee,Hardaway,61.00,90,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Delgado,Angel,Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Rodriguez,Angel,Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelo Sharpless,Angelo,Sharpless,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansu Sesay,Ansu,Sesay,,,,,67,,,,,,,,,,,,,,,,,,,,,,
Antawn Jamison,Antawn,Jamison,83.00,78,87,82,88,84,81,,87,87,75,78,74,77,76,,,,,,,,,,,,
Ante Tomic,Ante,Tomic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ante Zizic,Ante,Zizic,,,,,,,,,,,,,,,,,,,71,73,73,73,,,,,
Anthony Avent,Anthony,Avent,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Barber,Anthony,Barber,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Bennett,Anthony,Bennett,,,,,,,,,,,,,,,76,70,69,70,,,,,,,,,
Anthony Black,Anthony,Black,,,,,,,,,,,,,,,,,,,,,,,,,73,74,
Anthony Bonner,Anthony,Bonner,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Bowie,Anthony,Bowie,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Brown,Anthony,Brown,,,,,,,,,,,,,,,,,68,69,70,,,,,,,,
Anthony Carter,Anthony,Carter,72.00,75,72,64,65,,,,69,73,61,57,53,,,,,,,,,,,,,,
Anthony Cook,Anthony,Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Frederick,Anthony,Frederick,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Goldwire,Anthony,Goldwire,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Ireland,Anthony,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Johnson,Anthony,Johnson,75.00,,71,71,72,72,77,73,,73,61,,,,,,,,,,,,,,,,
Anthony Lamb,Anthony,Lamb,,,,,,,,,,,,,,,,,,,,,,,68,70,70,,
Anthony Lawrence,Anthony,Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Marshall,Anthony,Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Mason,Anthony,Mason,68.00,61,85,77,,,,,,,,,,,,,,,,,,,,,,,
Anthony Miller,Anthony,Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Morrow,Anthony,Morrow,,,,,,,,,,,,65,64,66,66,73,72,73,,,,,,,,,
Anthony Parker,Anthony,Parker,,,,,,,,75,78,80,68,70,67,,,,,,,,,,,,,,
Anthony Peeler,Anthony,Peeler,80.00,,72,72,68,70,,,,,,,,,,,,,,,,,,,,,
Anthony Pullard,Anthony,Pullard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Randolph,Anthony,Randolph,,,,,,,,,,72,67,70,69,71,71,,,,,,,,,,,,
Anthony Roberson,Anthony,Roberson,,,,,,,67,,,,,,,,,,,,,,,,,,,,
Anthony Tarke,Anthony,Tarke,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Tolliver,Anthony,Tolliver,,,,,,,,,,,,62,60,,60,73,70,70,72,74,72,71,,,,,
Anthony Tucker,Anthony,Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Carr,Antoine,Carr,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Rigaudeau,Antoine,Rigaudeau,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Walker,Antoine,Walker,86.00,92,86,86,86,82,81,,71,,,,,,,,,,,,,,,,,,
Antoine Wright,Antoine,Wright,,,,,,,72,71,71,72,60,64,,,,,,,,,,,,,,,
Anton Watson,Anton,Watson,,,,,,,,,,,,,,,,,,,,,,,,,,68,
Antonio Anderson,Antonio,Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Blakeney,Antonio,Blakeney,,,,,,,,,,,,,,,,,,,,69,72,72,,,,,
Antonio Burks,Antonio,Burks,,,,,,66,70,,,,,,,,,,,,,,,,,,,,
Antonio Daniels,Antonio,Daniels,73.00,78,80,77,78,78,77,,77,77,68,,,,,,,,,,,,,,,,
Antonio Davis,Antonio,Davis,81.00,88,86,68,,76,74,,,,,,,,,,,,,,,,,,,,
Antonio Harvey,Antonio,Harvey,,,61,54,,,,,,,,,,,,,,,,,,,,,,,
Antonio Lang,Antonio,Lang,,61,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio McDyess,Antonio,McDyess,92.00,92,92,85,78,82,82,81,79,80,68,68,65,,,,,,,,,,,,,,
Antonio Meeking,Antonio,Meeking,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Reeves,Antonio,Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,68,
Antonis Fotsis,Antonis,Fotsis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonius Cleveland,Antonius,Cleveland,,,,,,,,,,,,,,,,,,,,66,,67,,,,,
Anzejs Pasecniks,Anzejs,Pasecniks,,,,,,,,,,,,,,,,,,,,,,72,,,,70,
Archie Goodwin,Archie,Goodwin,,,,,,,,,,,,,,,68,69,69,72,72,72,,,,,,,
Aric Holman,Aric,Holman,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arinze Onuaku,Arinze,Onuaku,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armen Gilliam,Armen,Gilliam,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armon Johnson,Armon,Johnson,,,,,,,,,,,,,60,,,,,,,,,,,,,,
Arnett Moultrie,Arnett,Moultrie,,,,,,,,,,,,,,61,60,68,,,,,,,,,,,
Arnoldas Kulboka,Arnoldas,Kulboka,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aron Baynes,Aron,Baynes,,,,,,,,,,,,,,,,68,72,75,73,75,75,78,,,,,
Arron Afflalo,Arron,Afflalo,,,,,,,,,61,70,63,65,71,79,76,78,75,76,73,,,,,,,,
Arsalan Kazemi,Arsalan,Kazemi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Art Long,Art,Long,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artem Klimenko,Artem,Klimenko,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Johnson,Arthur,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arturas Gudaitis,Arturas,Gudaitis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arvydas Macijauskas,Arvydas,Macijauskas,,,,,,,65,,,,,,,,,,,,,,,,,,,,
Arvydas Sabonis,Arvydas,Sabonis,89.00,73,,,,,,,,,,,,,,,,,,,,,,,,,
Asauhn Dixon-Tatum,Asauhn,Dixon-Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Hamilton,Ashley,Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashraf Amaya,Ashraf,Amaya,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Hagans,Ashton,Hagans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Askia Jones,Askia,Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ater Majok,Ater,Majok,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aubrey Dawkins,Aubrey,Dawkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustine Rubit,Augustine,Rubit,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusto Lima,Augusto,Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausar Thompson,Ausar,Thompson,,,,,,,,,,,,,,,,,,,,,,,,,76,78,
Austin Croshere,Austin,Croshere,77.00,83,82,,78,79,78,74,,,,,,,,,,,,,,,,,,,
Austin Daye,Austin,Daye,,,,,,,,,,,60,60,59,63,64,67,,,,,,,,,,,
Austin Freeman,Austin,Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hollins,Austin,Hollins,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Wiley,Austin,Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Bradley,Avery,Bradley,,,,,,,,,,,,67,61,79,79,78,77,82,83,77,76,74,,,,,
Avery Johnson,Avery,Johnson,65.00,76,,,64,,,,,,,,,,,,,,,,,,,,,,
Awvee Storey,Awvee,Storey,,,,,,,66,,,,,,,,,,,,,,,,,,,,
Axel Hervelle,Axel,Hervelle,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Toupane,Axel,Toupane,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aziz N'Diaye,Aziz,N'Diaye,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.J. Tyler,B.J.,Tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakari Hendrix,Bakari,Hendrix,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baron Davis,Baron,Davis,88.00,84,90,86,85,90,89,89,93,89,82,79,73,74,,,,,,,,,,,,,
Barry Brown,Barry,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Kofoed,Bart,Kofoed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor Scheierman,Baylor,Scheierman,,,,,,,,,,,,,,,,,,,,,,,,,,69,
Beau Beech,Beau,Beech,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Bentil,Ben,Bentil,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Brust,Ben,Brust,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Davis,Ben,Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Gordon,Ben,Gordon,,,,,,77,83,83,82,81,78,76,74,75,76,72,,,,,,,,,,,
Ben Handlogten,Ben,Handlogten,,,,,,64,,,,,,,,,,,,,,,,,,,,,
Ben Hansbrough,Ben,Hansbrough,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben McLemore,Ben,McLemore,,,,,,,,,,,,,,,72,74,73,72,73,73,71,74,71,,,,
Ben Moore,Ben,Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sheppard,Ben,Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,70,71,
Ben Uzoh,Ben,Uzoh,,,,,,,,,,,,,57,,,,,,,,,,,,,,
Ben Wallace,Ben,Wallace,67.00,81,89,85,86,90,89,89,82,77,71,74,69,,,,,,,,,,,,,,
Bennie Boatwright,Bennie,Boatwright,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beno Udrih,Beno,Udrih,,,,,,75,75,,75,76,64,66,66,68,68,74,75,72,72,,,,,,,,
Benoit Benjamin,Benoit,Benjamin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernard James,Bernard,James,,,,,,,,,,,,,,,59,,,,,,,,,,,,
Bernard King,Bernard,King,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernard Robinson,Bernard,Robinson,,,,,,69,69,67,,,,,,,,,,,,,,,,,,,
Bilal Coulibaly,Bilal,Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,73,77,
Bill Cartwright,Bill,Cartwright,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Curley,Bill,Curley,63.00,63,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Hanzlik,Bill,Hanzlik,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Laimbeer,Bill,Laimbeer,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Wennington,Bill,Wennington,59.00,59,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Baron,Billy,Baron,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Garrett,Billy,Garrett,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Owens,Billy,Owens,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Preston,Billy,Preston,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Thomas,Billy,Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Thompson,Billy,Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bimbo Coles,Bimbo,Coles,61.00,70,76,64,,,,,,,,,,,,,,,,,,,,,,,
Bison Dele,Bison,Dele,72.00,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ Armstrong,BJ,Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ Johnson,BJ,Johnson,,,,,,,,,,,,,,,,,,,,,,68,,,,,
BJ Mullens,BJ,Mullens,,,,,,,,,,,,46,40,62,68,,,,,,,,,,,,
BJ Porter,BJ,Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ Taylor,BJ,Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJ Young,BJ,Young,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blair Rasmussen,Blair,Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Ahearn,Blake,Ahearn,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Griffin,Blake,Griffin,,,,,,,,,,,77,76,85,86,86,87,88,87,87,86,88,83,78,,75,,
Blue Edwards,Blue,Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Kimble,Bo,Kimble,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo McCalebb,Bo,McCalebb,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Outlaw,Bo,Outlaw,80.00,76,80,66,72,,67,,,,,,,,,,,,,,,,,,,,
Bob Hansen,Bob,Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Martin,Bob,Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob McCann,Bob,McCann,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Sura,Bob,Sura,,79,71,70,64,76,78,,,,,,,,,,,,,,,,,,,,
Bob Thornton,Bob,Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Brown,Bobby,Brown,,,,,,,,,,,58,,,,,,,,,,,,,,,,
Bobby Hurley,Bobby,Hurley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Jackson,Bobby,Jackson,79.00,73,68,75,81,80,,,,,,,,,,,,,,,,,,,,,
Bobby Jones,Bobby,Jones,,,,,,,,71,66,,,,,,,,,,,,,,,,,,
Bobby Phills,Bobby,Phills,66.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Simmons,Bobby,Simmons,,,69,60,,76,80,78,76,,63,,59,,,,,,,,,,,,,,
Bobi Klintman,Bobi,Klintman,,,,,,,,,,,,,,,,,,,,,,,,,,69,
Bojan Dubljevic,Bojan,Dubljevic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boniface N'Dong,Boniface,N'Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonzi Wells,Bonzi,Wells,,,83,83,83,83,80,78,77,,,,,,,,,,,,,,,,,,
Bonzie Colson,Bonzie,Colson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boris Diaw,Boris,Diaw,,,,,,72,74,78,77,77,72,70,65,66,62,78,74,74,,,,,,,,,
Bostjan Nachbar,Bostjan,Nachbar,,,,70,65,,,67,76,74,,,,,,,,,,,,,,,,,
Bracey Wright,Bracey,Wright,,,,,,,,65,,,,,,,,,,,,,,,,,,,
Brad Daugherty,Brad,Daugherty,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Davis,Brad,Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Lohaus,Brad,Lohaus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Miller,Brad,Miller,,78,81,79,77,85,82,78,,79,65,66,58,,,,,,,,,,,,,,
Brad Newley,Brad,Newley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Sellers,Brad,Sellers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Wanamaker,Brad,Wanamaker,,,,,,,,,,,,,,,,,,,,72,73,73,,,,,
Brady Heslip,Brady,Heslip,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braian Angola,Braian,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braian Angola-Rodas,Braian,Angola-Rodas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandan Wright,Brandan,Wright,,,,,,,,,70,72,65,64,59,,68,75,75,76,73,,,,,,,,
Branden Dawson,Branden,Dawson,,,,,,,,,,,,,,,,,66,,,,,,,,,,
Branden Frazier,Branden,Frazier,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandin Podziemski,Brandin,Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,71,79,
Brandon Armstrong,Brandon,Armstrong,,,63,,65,,,,,,,,,,,,,,,,,,,,,,
Brandon Ashley,Brandon,Ashley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Austin,Brandon,Austin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Bass,Brandon,Bass,,,,,,,,,73,74,68,71,70,71,72,75,74,74,,,,,,,,,
Brandon Davies,Brandon,Davies,,,,,,,,,,,,,,,65,65,,,,,,,,,,,
Brandon Goodwin,Brandon,Goodwin,,,,,,,,,,,,,,,,,,,,,68,71,,,,,
Brandon Heath,Brandon,Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Hunter,Brandon,Hunter,,,,,,66,,,,,,,,,,,,,,,,,,,,,
Brandon Jefferson,Brandon,Jefferson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Jennings,Brandon,Jennings,,,,,,,,,,,64,75,78,80,83,80,80,75,72,,,,,,,,
Brandon Knight,Brandon,Knight,,,,,,,,,,,,,,73,76,79,81,78,74,74,72,70,,,,,
Brandon Kurtz,Brandon,Kurtz,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon McCoy,Brandon,McCoy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Paul,Brandon,Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Rachal,Brandon,Rachal,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Roy,Brandon,Roy,,,,,,,,76,88,88,87,88,78,80,,,,,,,,,,,,,
Brandon Rush,Brandon,Rush,,,,,,,,,,76,65,65,65,71,71,69,65,72,70,,,,,,,,
Brandon Sampson,Brandon,Sampson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Triche,Brandon,Triche,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Wallace,Brandon,Wallace,,,,,,,,,60,,,,,,,,,,,,,,,,,,
Breein Tyree,Breein,Tyree,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Haywood,Brendan,Haywood,,71,72,68,70,72,77,,80,80,60,71,65,67,64,65,,,,,,,,,,,
Brendan Lane,Brendan,Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent Barry,Brent,Barry,78.00,82,82,82,81,84,82,76,76,74,,,,,,,,,,,,,,,,,
Brent Price,Brent,Price,,,,60,,,,,,,,,,,,,,,,,,,,,,,
Brent Scott,Brent,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Robisch,Brett,Robisch,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Szabo,Brett,Szabo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevin Knight,Brevin,Knight,79.00,,72,,,79,81,,,,,,,,,,,,,,,,,,,,
Brian Bowen,Brian,Bowen,,,,,,,,,,,,,,,,,,,,,,68,,,,,
Brian Butch,Brian,Butch,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Cardinal,Brian,Cardinal,65.00,,,,,72,72,70,70,64,,,51,,,,,,,,,,,,,,
Brian Chase,Brian,Chase,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Cook,Brian,Cook,,,,,65,,72,72,67,,,54,50,,,,,,,,,,,,,,
Brian Davis,Brian,Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Evans,Brian,Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Grant,Brian,Grant,89.00,89,86,78,75,73,,69,,,,,,,,,,,,,,,,,,,
Brian Howard,Brian,Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Oliver,Brian,Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Quinnett,Brian,Quinnett,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Qvale,Brian,Qvale,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Roberts,Brian,Roberts,,,,,,,,,,,,,,,60,74,72,72,,,,,,,,,
Brian Scalabrine,Brian,Scalabrine,,,65,62,70,77,72,70,62,64,,44,40,,,,,,,,,,,,,,
Brian Shaw,Brian,Shaw,,73,,64,,,,,,,,,,,,,,,,,,,,,,,
Brian Skinner,Brian,Skinner,,76,,66,,69,70,67,67,70,,,51,,,,,,,,,,,,,,
Briante Weber,Briante,Weber,,,,,,,,,,,,,,,,,,,,70,,,,,,,
Brice Johnson,Brice,Johnson,,,,,,,,,,,,,,,,,,69,70,,,,,,,,
Brice Sensabaugh,Brice,Sensabaugh,,,,,,,,,,,,,,,,,,,,,,,,,71,72,
Britton Johnsen,Britton,Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Motum,Brock,Motum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodric Thomas,Brodric,Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronny James,Bronny,James,,,,,,,,,,,,,,,,,,,,,,,,,,68,
Bronson Koenig,Bronson,Koenig,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks Thompson,Brooks,Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Bowen,Bruce,Bowen,66.00,64,75,70,,82,81,77,79,77,,,,,,,,,,,,,,,,,
Bruce Massey,Bruce,Massey,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Caboclo,Bruno,Caboclo,,,,,,,,,,,,,,,,64,65,66,67,66,,72,,,,,
Bruno Fernando,Bruno,Fernando,,,,,,,,,,,,,,,,,,,,,71,73,71,75,74,71,
Bruno Sundov,Bruno,Sundov,61.00,66,67,51,51,66,,,,,,,,,,,,,,,,,,,,,
Bryant Reeves,Bryant,Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryant Stith,Bryant,Stith,70.00,67,60,73,,,,,,,,,,,,,,,,,,,,,,,
Bryce Alford,Bryce,Alford,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Brown,Bryce,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Cotton,Bryce,Cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Dejean-Jones,Bryce,Dejean-Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Drew,Bryce,Drew,63.00,64,64,,,,,,,,,,,,,,,,,,,,,,,,
Bryon Allen,Bryon,Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryon Russell,Bryon,Russell,82.00,82,76,62,,,,,,,,,,,,,,,,,,,,,,,
Bub Carrington,Bub,Carrington,,,,,,,,,,,,,,,,,,,,,,,,,,70,
Bubba Wells,Bubba,Wells,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bubu Palo,Bubu,Palo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buck Johnson,Buck,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buck Williams,Buck,Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Houston,Byron,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Irvin,Byron,Irvin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byron Scott,Byron,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cady Lalanne,Cady,Lalanne,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cal Bowdler,Cal,Bowdler,69.00,65,,,,,,,,,,,,,,,,,,,,,,,,,
Calbert Cheaney,Calbert,Cheaney,74.00,69,63,67,67,67,71,,,,,,,,,,,,,,,,,,,,
Caleb Agada,Caleb,Agada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Homesley,Caleb,Homesley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Swanigan,Caleb,Swanigan,,,,,,,,,,,,,,,,,,,70,70,70,69,,,,,
Calvin Booth,Calvin,Booth,76.00,65,64,59,60,66,66,,,,,,,,,,,,,,,,,,,,
Cam Christie,Cam,Christie,,,,,,,,,,,,,,,,,,,,,,,,,,68,
Cam Oliver,Cam,Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Reynolds,Cam,Reynolds,,,,,,,,,,,,,,,,,,,,,69,69,,,,,
Cam Spencer,Cam,Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,68,
Cameron Ayers,Cameron,Ayers,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Bairstow,Cameron,Bairstow,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Clark,Cameron,Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Jones,Cameron,Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron McGriff,Cameron,McGriff,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Moore,Cameron,Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Oliver,Cameron,Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Whitmore,Cameron,Whitmore,,,,,,,,,,,,,,,,,,,,,,,,,74,78,
Canyon Barry,Canyon,Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl English,Carl,English,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Herrera,Carl,Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Landry,Carl,Landry,,,,,,,,,72,76,68,75,72,75,76,75,74,,,,,,,,,,
Carl Thomas,Carl,Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carldell Johnson,Carldell,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carleton Scott,Carleton,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlon Brown,Carlon,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Arroyo,Carlos,Arroyo,,,,,,,75,,73,,,64,,,,,,,,,,,,,,,
Carlos Boozer,Carlos,Boozer,,,,58,74,86,81,80,89,88,84,85,77,78,77,,,,,,,,,,,,
